#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	90723	91067	+	CNGMIB_00094	12.3	5.3	PF02288.20|Dehydratase_MU	PFAM:PF02288.20
contig_1	91084	91515	+	CNGMIB_00095	14.3	4.4	PF00936.24|BMC	PFAM:PF00936.24
contig_1	94187	95272	+	CNGMIB_00100	38.2	6.2	PF01923.23|Cob_adeno_trans	PFAM:PF01923.23
contig_1	98293	99039	-	CNGMIB_00104	26.1	6.0		
contig_1	99300	99479	-	CNGMIB_00105	6.4	6.5		
contig_1	99449	99817	-	CNGMIB_00106	13.3	6.9	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	100181	100369	-	CNGMIB_00107	6.7	4.5		
contig_1	100308	100847	-	CNGMIB_00108	19.4	4.9		
contig_1	106622	107479	+	CNGMIB_00113	30.7	10.2	PF00293.34|NUDIX, PF21906.2|NrtR_WHD	PFAM:PF00293.34, PFAM:PF21906.2
contig_1	115735	116547	+	CNGMIB_00121	28.0	6.2	PF00070.33|Pyr_redox, PF07992.20|Pyr_redox_2	PFAM:PF00070.33, PFAM:PF07992.20
contig_1	117677	118612	-	CNGMIB_00123	32.6	6.3		
contig_1	119906	120127	+	CNGMIB_00125	8.0	10.7		
contig_1	120153	120383	-	CNGMIB_00126	8.4	12.0		
contig_1	120485	120967	+	CNGMIB_00127	17.5	8.0	PF01882.25|DUF58	PFAM:PF01882.25
contig_1	122903	123430	+	CNGMIB_00130	19.0	5.5	PF01168.26|Ala_racemase_N	PFAM:PF01168.26
contig_1	123427	123654	+	CNGMIB_00131	8.0	4.8		
contig_1	125833	126327	+	CNGMIB_00133	18.1	5.3		
contig_1	128134	128565	-	CNGMIB_00136	15.2	5.0	PF08541.16|ACP_syn_III_C	PFAM:PF08541.16
contig_1	128541	129137	-	CNGMIB_00137	20.8	5.4	PF00108.29|Thiolase_N, PF08545.16|ACP_syn_III	PFAM:PF00108.29, PFAM:PF08545.16
contig_1	131554	132129	-	CNGMIB_00140	21.0	5.7	PF00155.27|Aminotran_1_2	PFAM:PF00155.27
contig_1	132129	132749	-	CNGMIB_00141	21.5	5.5	PF00155.27|Aminotran_1_2	PFAM:PF00155.27
contig_1	133003	133818	+	CNGMIB_00142	30.5	6.2		
contig_1	135712	135846	+	CNGMIB_00144	4.8	11.6		
contig_1	135979	136230	+	CNGMIB_00145	9.4	5.6		
contig_1	136311	136622	-	CNGMIB_00146	11.3	6.7		
contig_1	136667	138103	-	CNGMIB_00147	53.0	9.3	PF00005.33|ABC_tran	PFAM:PF00005.33
contig_1	138353	138805	+	CNGMIB_00148	16.9	4.9	PF00011.27|HSP20	PFAM:PF00011.27
contig_1	144140	144601	-	CNGMIB_00154	16.6	5.3	PF09424.15|YqeY	PFAM:PF09424.15
contig_1	147603	148844	+	CNGMIB_00158	43.6	6.1		
contig_1	148882	149256	-	CNGMIB_00159	13.1	9.5		
contig_1	150498	151118	+	CNGMIB_00160	21.1	6.3		
contig_1	153188	154630	+	CNGMIB_00164	51.9	5.1	PF00072.30|Response_reg, PF00486.34|Trans_reg_C	PFAM:PF00072.30, PFAM:PF00486.34
contig_1	154712	155137	+	CNGMIB_00165	14.6	7.6		
contig_1	155274	155519	+	CNGMIB_00166	8.6	11.6	PF00156.33|Pribosyltran	PFAM:PF00156.33
contig_1	159405	159947	-	CNGMIB_00169	19.6	10.1		SO:0001217, UniRef:UniRef50_A0A2C7ZV50
contig_1	160028	160537	+	CNGMIB_00170	17.6	4.5		
contig_1	160539	160742	+	CNGMIB_00171	7.2	4.6		
contig_1	160664	160825	-	CNGMIB_00172	5.1	11.8		
contig_1	160801	161328	-	CNGMIB_00173	19.0	6.2		
contig_1	163569	164702	-	CNGMIB_00176	42.5	8.9	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
contig_1	165765	166103	+	CNGMIB_00177	11.7	5.0	PF13794.12|MiaE_2	PFAM:PF13794.12
contig_1	166290	166574	-	CNGMIB_00178	10.1	4.9		
contig_1	166525	167502	-	CNGMIB_00179	34.4	9.7		
contig_1	175889	176422	-	CNGMIB_00184	19.3	11.2	PF13538.12|UvrD_C_2	PFAM:PF13538.12
contig_1	176362	177741	-	CNGMIB_00185	48.1	6.7	PF00580.27|UvrD-helicase, PF13086.12|AAA_11, PF13245.12|AAA_19, PF13604.12|AAA_30, PF21185.3|RecD_N	PFAM:PF00580.27, PFAM:PF13086.12, PFAM:PF13245.12, PFAM:PF13604.12, PFAM:PF21185.3
contig_1	181087	182043	-	CNGMIB_00187	34.9	5.8	PF17946.7|RecC_C	PFAM:PF17946.7
contig_1	182033	184459	-	CNGMIB_00188	87.6	5.5		
contig_1	186772	187548	-	CNGMIB_00190	27.1	9.6		
contig_1	189332	190423	-	CNGMIB_00193	39.5	4.6		
contig_1	190420	190734	-	CNGMIB_00194	11.4	6.8		
contig_1	191178	192017	+	CNGMIB_00195	29.4	4.6	PF00595.29|PDZ, PF05362.19|Lon_C, PF13180.12|PDZ_2	PFAM:PF00595.29, PFAM:PF05362.19, PFAM:PF13180.12
contig_1	192732	195671	+	CNGMIB_00197	107.3	6.2		
contig_1	195755	196336	-	CNGMIB_00198	20.3	4.7	PF05193.26|Peptidase_M16_C	PFAM:PF05193.26
contig_1	196333	197118	-	CNGMIB_00199	28.5	5.6	PF05193.26|Peptidase_M16_C	PFAM:PF05193.26
contig_1	199915	200205	+	CNGMIB_00202	10.5	5.2	PF14542.12|Acetyltransf_CG	PFAM:PF14542.12
contig_1	211022	211834	+	CNGMIB_00213	30.5	10.6	PF09359.15|VTC	PFAM:PF09359.15
contig_1	211831	213024	+	CNGMIB_00214	39.4	4.1	PF14262.12|Cthe_2159	PFAM:PF14262.12
contig_1	213095	213361	+	CNGMIB_00215	8.5	9.1		
contig_1	213358	213564	+	CNGMIB_00216	6.5	8.3		
contig_1	213644	214432	-	CNGMIB_00217	28.5	7.7		
contig_1	215552	216016	-	CNGMIB_00219	16.2	5.8		
contig_1	216035	216229	+	CNGMIB_00220	6.7	12.0		
contig_1	216344	217072	+	CNGMIB_00221	24.6	11.5		
contig_1	217051	217332	+	CNGMIB_00222	10.2	4.5		
contig_1	217329	217802	+	CNGMIB_00223	17.2	5.2		
contig_1	219335	219586	+	CNGMIB_00226	9.7	4.2	PF12282.15|GAF_PdtaS	PFAM:PF12282.15
contig_1	219598	220173	+	CNGMIB_00227	20.3	5.7	PF12282.15|GAF_PdtaS	PFAM:PF12282.15
contig_1	220173	220841	+	CNGMIB_00228	23.8	5.1	PF02518.31|HATPase_c, PF07536.20|HWE_HK, PF07568.18|HisKA_2, PF13581.12|HATPase_c_2	PFAM:PF02518.31, PFAM:PF07536.20, PFAM:PF07568.18, PFAM:PF13581.12
contig_1	225293	225802	-	CNGMIB_00231	18.5	10.8		
contig_1	225760	226698	-	CNGMIB_00232	33.1	9.5		
contig_1	226691	227659	-	CNGMIB_00233	34.3	11.4		
contig_1	227635	227985	-	CNGMIB_00234	12.2	6.8		
contig_1	228126	228656	-	CNGMIB_00235	20.1	10.6		
contig_1	228653	228844	-	CNGMIB_00236	7.3	9.7		
contig_1	228856	229542	-	CNGMIB_00237	25.0	9.9		
contig_1	229647	230147	+	CNGMIB_00238	17.4	7.0	PF09335.16|VTT_dom	PFAM:PF09335.16
contig_1	230144	230503	+	CNGMIB_00239	12.6	8.0		
contig_1	232289	233248	+	CNGMIB_00241	33.4	5.2	PF00742.24|Homoserine_dh, PF03447.22|NAD_binding_3	PFAM:PF00742.24, PFAM:PF03447.22
contig_1	233245	233613	+	CNGMIB_00242	13.5	7.0	PF01842.31|ACT, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF22629.2
contig_1	234639	234902	+	CNGMIB_00244	9.2	9.9	PF07498.18|Rho_N	PFAM:PF07498.18
contig_1	234850	235188	+	CNGMIB_00245	12.2	11.3		
contig_1	239009	239746	+	CNGMIB_00250	25.9	8.5		
contig_1	239895	241031	+	CNGMIB_00251	40.8	9.4		
contig_1	241109	241546	+	CNGMIB_00252	15.1	11.4		
contig_1	241543	241767	+	CNGMIB_00253	8.0	5.4		
contig_1	242916	243470	+	CNGMIB_00256	20.2	5.3	PF00430.23|ATP-synt_B	PFAM:PF00430.23
contig_1	243656	244246	+	CNGMIB_00257	21.2	5.1		
contig_1	248857	249186	+	CNGMIB_00262	12.0	12.0		
contig_1	249218	249313	+	CNGMIB_00263	3.4	4.1		
contig_1	249337	250650	+	CNGMIB_00264	47.7	8.7	PF03099.24|BPL_LplA_LipB, PF21948.1|LplA-B_cat	PFAM:PF03099.24, PFAM:PF21948.1
contig_1	252085	252363	-	CNGMIB_00267	10.5	10.8		
contig_1	255160	255498	-	CNGMIB_00270	12.5	9.3		
contig_1	255879	256334	-	CNGMIB_00271	16.7	5.1	PF00903.31|Glyoxalase, PF13468.12|Glyoxalase_3	PFAM:PF00903.31, PFAM:PF13468.12
contig_1	260216	261268	-	CNGMIB_00275	40.2	9.0		
contig_1	261265	263490	-	CNGMIB_00276	81.9	7.8	PF00128.31|Alpha-amylase, PF02922.24|CBM_48, PF18085.6|Mak_N_cap	PFAM:PF00128.31, PFAM:PF02922.24, PFAM:PF18085.6
contig_1	270386	271012	-	CNGMIB_00280	21.9	6.5		
contig_1	270973	271257	-	CNGMIB_00281	9.5	6.0		
contig_1	276668	276871	+	CNGMIB_00286	7.4	10.3		
contig_1	281297	281797	+	CNGMIB_00290	17.1	11.0		
contig_1	281970	283781	+	CNGMIB_00291	66.6	9.0		
contig_1	285124	286023	-	CNGMIB_00293	31.9	5.4	PF00557.29|Peptidase_M24	PFAM:PF00557.29
contig_1	294220	296031	+	CNGMIB_00302	65.7	7.0	PF01381.28|HTH_3, PF12844.13|HTH_19, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13560.12
contig_1	295922	296713	-	CNGMIB_00303	28.5	10.3		
contig_1	296851	297375	+	CNGMIB_00304	19.0	12.0		
contig_1	301379	301792	-	CNGMIB_00309	14.9	5.3	PF01037.27|AsnC_trans_reg, PF13404.12|HTH_AsnC-type, PF13412.12|HTH_24	PFAM:PF01037.27, PFAM:PF13404.12, PFAM:PF13412.12
contig_1	302611	303267	-	CNGMIB_00311	24.8	7.1		
contig_1	303282	303863	-	CNGMIB_00312	20.6	5.0	PF00561.26|Abhydrolase_1	PFAM:PF00561.26
contig_1	311013	311495	-	CNGMIB_00321	17.6	5.8		
contig_1	312237	314876	+	CNGMIB_00323	94.8	5.9	PF08751.17|TrwC, PF13086.12|AAA_11, PF13245.12|AAA_19, PF13604.12|AAA_30, PF22232.2|TraI_hel_assoc_N	PFAM:PF08751.17, PFAM:PF13086.12, PFAM:PF13245.12, PFAM:PF13604.12, PFAM:PF22232.2
contig_1	314890	315252	+	CNGMIB_00324	13.1	9.8		
contig_1	315404	315727	+	CNGMIB_00325	11.9	11.2		
contig_1	316999	319116	+	CNGMIB_00327	76.8	5.6	PF00082.27|Peptidase_S8	PFAM:PF00082.27
contig_1	319182	319388	+	CNGMIB_00328	7.8	5.2		
contig_1	321020	323209	+	CNGMIB_00330	82.1	5.4		SO:0001217, UniRef:UniRef50_A0A2C8BB75
contig_1	323549	323854	-	CNGMIB_00331	11.0	10.0	PF13601.12|HTH_34	PFAM:PF13601.12
contig_1	324539	324865	+	CNGMIB_00333	11.4	10.1		
contig_1	324895	325413	+	CNGMIB_00334	17.1	9.9	PF00892.27|EamA	PFAM:PF00892.27
contig_1	326135	326329	-	CNGMIB_00335	6.8	11.2		
contig_1	327113	327640	-	CNGMIB_00337	17.7	5.4		
contig_1	327580	328614	-	CNGMIB_00338	36.4	9.3		
contig_1	332552	332788	-	CNGMIB_00343	8.2	8.4		
contig_1	332785	333276	-	CNGMIB_00344	17.8	5.6	PF00227.31|Proteasome	PFAM:PF00227.31
contig_1	334132	334596	-	CNGMIB_00346	16.6	8.7		
contig_1	334608	335201	-	CNGMIB_00347	21.0	5.2	PF14801.12|TrmI-like_N	PFAM:PF14801.12
contig_1	336116	336910	+	CNGMIB_00349	26.5	8.6		
contig_1	336862	337371	+	CNGMIB_00350	18.1	5.0		
contig_1	342282	342788	-	CNGMIB_00354	19.1	4.7		
contig_1	342775	343614	-	CNGMIB_00355	31.6	6.1		
contig_1	343674	344090	-	CNGMIB_00356	14.6	5.5	PF00834.25|Ribul_P_3_epim	PFAM:PF00834.25
contig_1	344087	344335	-	CNGMIB_00357	9.0	5.7	PF00834.25|Ribul_P_3_epim	PFAM:PF00834.25
contig_1	346857	347213	-	CNGMIB_00360	13.0	6.3		
contig_1	347201	348877	-	CNGMIB_00361	59.8	9.2	PF17764.6|PriA_3primeBD	PFAM:PF17764.6
contig_1	353756	354142	-	CNGMIB_00368	13.9	5.5	PF02142.27|MGS	PFAM:PF02142.27
contig_1	354082	355350	-	CNGMIB_00369	45.2	4.7	PF02222.28|ATP-grasp, PF02786.22|CPSase_L_D2	PFAM:PF02222.28, PFAM:PF02786.22
contig_1	361466	361750	-	CNGMIB_00375	10.0	9.6		
contig_1	361910	362665	-	CNGMIB_00376	27.2	11.2		
contig_1	362803	364050	-	CNGMIB_00377	44.3	5.9		
contig_1	369989	371125	-	CNGMIB_00382	40.6	4.8	PF00152.25|tRNA-synt_2, PF02938.19|GAD	PFAM:PF00152.25, PFAM:PF02938.19
contig_1	371122	371835	-	CNGMIB_00383	25.9	5.9	PF00152.25|tRNA-synt_2, PF01336.31|tRNA_anti-codon	PFAM:PF00152.25, PFAM:PF01336.31
contig_1	372034	372606	-	CNGMIB_00384	20.9	5.0		
contig_1	372626	373108	-	CNGMIB_00385	17.6	5.5		
contig_1	373317	373619	-	CNGMIB_00386	11.0	4.8	PF03306.18|AAL_decarboxy	PFAM:PF03306.18
contig_1	373754	374131	-	CNGMIB_00387	13.5	5.9	PF03306.18|AAL_decarboxy	PFAM:PF03306.18
contig_1	376399	377478	+	CNGMIB_00390	40.7	10.2	PF03993.17|DUF349	PFAM:PF03993.17
contig_1	380030	380440	-	CNGMIB_00392	14.3	4.8	PF00156.33|Pribosyltran	PFAM:PF00156.33
contig_1	383487	384065	-	CNGMIB_00395	20.6	4.7		
contig_1	385265	385549	-	CNGMIB_00397	9.8	4.7	PF07499.19|RuvA_C	PFAM:PF07499.19
contig_1	385495	385875	-	CNGMIB_00398	13.2	8.6	PF01330.27|RuvA_N, PF14520.12|HHH_5	PFAM:PF01330.27, PFAM:PF14520.12
contig_1	387699	388244	-	CNGMIB_00401	19.6	5.0	PF13508.13|Acetyltransf_7	PFAM:PF13508.13
contig_1	388402	388734	-	CNGMIB_00402	12.0	4.4		
contig_1	392177	393334	-	CNGMIB_00407	41.3	5.2		
contig_1	394628	395536	-	CNGMIB_00410	31.6	10.8		
contig_1	399407	400222	+	CNGMIB_00412	27.6	11.4	PF03729.18|DUF308	PFAM:PF03729.18
contig_1	401559	402047	-	CNGMIB_00414	17.2	4.8		
contig_1	405750	406064	-	CNGMIB_00416	11.2	5.4	PF00310.26|GATase_2	PFAM:PF00310.26
contig_1	407122	409320	-	CNGMIB_00418	78.7	8.9	PF00290.26|Trp_syntA	PFAM:PF00290.26
contig_1	409313	410173	-	CNGMIB_00419	30.4	5.0	PF00218.27|IGPS, PF01070.24|FMN_dh	PFAM:PF00218.27, PFAM:PF01070.24
contig_1	412167	412886	+	CNGMIB_00422	26.0	9.5	PF11716.13|MDMPI_N	PFAM:PF11716.13
contig_1	412957	413547	-	CNGMIB_00423	21.6	5.2	PF03950.23|tRNA-synt_1c_C, PF20974.2|tRNA-synt_1c_C2	PFAM:PF03950.23, PFAM:PF20974.2
contig_1	413544	414668	-	CNGMIB_00424	42.5	5.4	PF00749.27|tRNA-synt_1c	PFAM:PF00749.27
contig_1	416737	418233	+	CNGMIB_00427	53.6	10.2	PF00005.33|ABC_tran, PF13304.12|AAA_21	PFAM:PF00005.33, PFAM:PF13304.12
contig_1	420818	421435	+	CNGMIB_00430	21.9	10.5		
contig_1	421485	421772	-	CNGMIB_00431	10.2	4.3		
contig_1	422170	422592	-	CNGMIB_00432	14.6	7.8		
contig_1	422816	423346	+	CNGMIB_00433	18.7	5.3	PF00365.25|PFK	PFAM:PF00365.25
contig_1	423343	424029	+	CNGMIB_00434	24.7	4.9		
contig_1	424360	424509	-	CNGMIB_00436	5.7	6.5		
contig_1	424597	424836	+	CNGMIB_00437	8.3	7.8		
contig_1	424833	424991	+	CNGMIB_00438	5.5	8.9		
contig_1	425931	427799	-	CNGMIB_00440	68.2	6.2	PF01807.25|Zn_ribbon_DnaG, PF08275.17|DNAG_N, PF08278.16|DnaG_DnaB_bind, PF10410.14|DnaB_bind, PF13662.12|Toprim_4	PFAM:PF01807.25, PFAM:PF08275.17, PFAM:PF08278.16, PFAM:PF10410.14, PFAM:PF13662.12
contig_1	427969	428268	+	CNGMIB_00441	11.0	5.0		
contig_1	428234	428599	+	CNGMIB_00442	13.0	5.5		
contig_1	428701	429033	+	CNGMIB_00443	11.5	6.8		
contig_1	429303	429701	+	CNGMIB_00444	14.1	8.2		
contig_1	429745	430353	+	CNGMIB_00445	22.5	9.0		
contig_1	430310	430735	+	CNGMIB_00446	15.2	9.6		
contig_1	431015	431794	+	CNGMIB_00447	26.6	6.1		
contig_1	431901	432605	-	CNGMIB_00448	24.6	10.1		
contig_1	432878	433735	-	CNGMIB_00450	29.9	4.7		
contig_1	433897	434085	+	CNGMIB_00451	6.6	4.1		
contig_1	437245	438051	+	CNGMIB_00455	28.5	9.5	PF01656.29|CbiA, PF13500.12|AAA_26	PFAM:PF01656.29, PFAM:PF13500.12
contig_1	438002	438691	+	CNGMIB_00456	25.0	5.1	PF07685.20|GATase_3	PFAM:PF07685.20
contig_1	439284	439574	+	CNGMIB_00458	9.8	12.0	PF01656.29|CbiA	PFAM:PF01656.29
contig_1	439580	442534	+	CNGMIB_00459	104.9	7.5	PF00155.27|Aminotran_1_2, PF02283.22|CobU, PF07685.20|GATase_3, PF13500.12|AAA_26	PFAM:PF00155.27, PFAM:PF02283.22, PFAM:PF07685.20, PFAM:PF13500.12
contig_1	443409	444023	+	CNGMIB_00461	22.4	9.0	PF00440.29|TetR_N	PFAM:PF00440.29
contig_1	444837	446498	+	CNGMIB_00463	57.6	5.2		
contig_1	446528	446941	+	CNGMIB_00464	14.8	9.7		
contig_1	446877	447008	-	CNGMIB_00465	4.9	12.0		
contig_1	448481	448897	-	CNGMIB_00467	15.1	4.7	PF21478.3|GcvP2_C	PFAM:PF21478.3
contig_1	452303	452563	-	CNGMIB_00470	9.3	4.1	PF02577.19|BFN_dom	PFAM:PF02577.19
contig_1	452596	452763	-	CNGMIB_00471	5.9	4.1		
contig_1	452765	453160	-	CNGMIB_00472	14.6	9.4		
contig_1	453285	453497	-	CNGMIB_00473	7.2	8.9		
contig_1	454579	455376	-	CNGMIB_00476	28.2	6.2		
contig_1	455729	456178	-	CNGMIB_00478	16.0	4.5		
contig_1	456163	456525	-	CNGMIB_00479	12.7	7.9		
contig_1	457293	458009	-	CNGMIB_00481	25.7	6.3	PF13692.12|Glyco_trans_1_4	PFAM:PF13692.12
contig_1	457993	458337	-	CNGMIB_00482	12.0	6.3	PF13439.12|Glyco_transf_4	PFAM:PF13439.12
contig_1	460530	461990	-	CNGMIB_00486	54.6	5.7	PF00587.30|tRNA-synt_2b, PF03129.25|HGTP_anticodon, PF07973.19|tRNA_SAD	PFAM:PF00587.30, PFAM:PF03129.25, PFAM:PF07973.19
contig_1	464299	464631	+	CNGMIB_00491	11.8	7.9	PF01903.22|CbiX	PFAM:PF01903.22
contig_1	464625	464900	+	CNGMIB_00492	9.6	11.1		
contig_1	464995	465138	+	CNGMIB_00493	4.9	4.1		
contig_1	467373	467972	+	CNGMIB_00497	21.8	4.5		
contig_1	470596	471273	-	CNGMIB_00500	24.2	8.0	PF00676.26|E1_dh, PF02775.26|TPP_enzyme_C	PFAM:PF00676.26, PFAM:PF02775.26
contig_1	471424	471954	-	CNGMIB_00501	19.1	9.0		SO:0001217, UniRef:UniRef50_A0A7X7V7E9
contig_1	478501	478785	+	CNGMIB_00507	9.8	5.2		
contig_1	478767	479474	+	CNGMIB_00508	24.2	5.1		
contig_1	481226	481519	-	CNGMIB_00511	10.7	8.6	PF20555.3|DUF6767	PFAM:PF20555.3
contig_1	481559	482659	-	CNGMIB_00512	39.4	7.0	PF01938.26|TRAM	PFAM:PF01938.26
contig_1	482656	483981	-	CNGMIB_00513	48.7	9.8		
contig_1	483933	484316	-	CNGMIB_00514	13.9	9.5		
contig_1	484407	484517	+	CNGMIB_00515	3.6	8.3		
contig_1	484917	485483	+	CNGMIB_00516	20.4	5.3	PF02080.26|TrkA_C, PF02254.24|TrkA_N	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	486172	486552	-	CNGMIB_00518	13.8	10.7		
contig_1	486549	486722	-	CNGMIB_00519	5.9	4.4		
contig_1	486737	487093	-	CNGMIB_00520	12.8	4.8		
contig_1	487042	487368	-	CNGMIB_00521	11.3	4.1		
contig_1	487658	487978	+	CNGMIB_00522	11.1	9.4		
contig_1	489900	490007	+	CNGMIB_00525	4.2	10.6		
contig_1	490110	490691	-	CNGMIB_00526	20.8	4.7		
contig_1	492274	492996	+	CNGMIB_00528	26.1	9.6	PF09949.15|APP1_cat	PFAM:PF09949.15
contig_1	495311	495583	+	CNGMIB_00530	9.3	9.0		
contig_1	495689	496162	+	CNGMIB_00531	16.1	4.9	PF02558.23|ApbA	PFAM:PF02558.23
contig_1	496159	496605	+	CNGMIB_00532	16.1	5.2	PF08546.17|ApbA_C	PFAM:PF08546.17
contig_1	498910	499101	+	CNGMIB_00534	6.8	8.6	PF24254.1|DUF7455	PFAM:PF24254.1
contig_1	500293	501822	-	CNGMIB_00536	55.7	9.0	PF04542.20|Sigma70_r2, PF04545.22|Sigma70_r4	PFAM:PF04542.20, PFAM:PF04545.22
contig_1	503213	503608	-	CNGMIB_00538	14.2	9.8	PF00532.27|Peripla_BP_1, PF13377.12|Peripla_BP_3	PFAM:PF00532.27, PFAM:PF13377.12
contig_1	503575	504015	-	CNGMIB_00539	15.9	6.7	PF00532.27|Peripla_BP_1	PFAM:PF00532.27
contig_1	504483	504962	+	CNGMIB_00540	17.0	9.0		
contig_1	504931	505824	+	CNGMIB_00541	32.7	5.1		
contig_1	506848	507609	-	CNGMIB_00543	27.7	6.0		
contig_1	513555	513866	-	CNGMIB_00546	11.3	10.8		
contig_1	513851	514546	-	CNGMIB_00547	24.5	9.7		
contig_1	518501	519484	-	CNGMIB_00551	36.1	6.0	PF01266.30|DAO, PF04324.20|Fer2_BFD	PFAM:PF01266.30, PFAM:PF04324.20
contig_1	519436	519711	-	CNGMIB_00552	9.7	7.7	PF01266.30|DAO	PFAM:PF01266.30
contig_1	519738	520127	-	CNGMIB_00553	13.4	4.5	PF01266.30|DAO	PFAM:PF01266.30
contig_1	523730	524257	-	CNGMIB_00556	19.9	9.1		
contig_1	525243	525509	-	CNGMIB_00558	8.5	12.0		
contig_1	525506	526009	-	CNGMIB_00559	16.2	11.2		
contig_1	535117	535899	-	CNGMIB_00567	28.1	5.5		
contig_1	535914	536651	-	CNGMIB_00568	27.1	5.2	PF00013.35|KH_1, PF12072.13|RNase_Y_N	PFAM:PF00013.35, PFAM:PF12072.13
contig_1	536812	537426	-	CNGMIB_00569	22.6	9.6	PF02631.22|RecX_HTH2, PF21982.2|RecX_HTH1	PFAM:PF02631.22, PFAM:PF21982.2
contig_1	538856	539023	+	CNGMIB_00571	6.5	5.5		
contig_1	540995	542038	+	CNGMIB_00573	37.7	5.0		
contig_1	542008	542676	+	CNGMIB_00574	24.4	6.5	PF23236.1|WH2_Lhr	PFAM:PF23236.1
contig_1	542718	543257	+	CNGMIB_00575	19.2	10.0	PF23235.1|WH3_Lhr	PFAM:PF23235.1
contig_1	543254	543802	+	CNGMIB_00576	19.4	9.6	PF23234.1|WH4_Lhr	PFAM:PF23234.1
